$sig_U_00_up
    Row.names         V1       V2       V3 1_hab00_mean 2_uncut_mean     theta      prob    log2FC
4   ML05654a  ML05654a     GLUL 7.61e-86    110.82000   151.813333 -1.091331 0.9537256 -0.4540802
13  ML10543a  ML10543a  SLC26A8 1.17e-06   1951.26667  2496.840000 -3.312670 1.0000000 -0.3556924
8  ML075212a ML075212a   GAS2L3 5.19e-13    350.59333   438.140000 -1.087602 0.9512639 -0.3215934
2   ML01323a  ML01323a      CA2 3.41e-28    279.49333   348.946667 -1.242932 0.9880093 -0.3201927
5  ML056958a ML056958a   TUBA1C 0.00e+00    626.37667   779.260000 -1.679086 0.9873030 -0.3150743
17  ML20265a  ML20265a    ACTG1 0.00e+00    550.08000   659.266667 -1.104211 0.9554660 -0.2612207
14  ML14587a  ML14587a   RPS27L 9.37e-44   4546.33333  5296.776667 -1.092730 0.9543896 -0.2204112
15 ML148514a ML148514a     MYL6 1.19e-37    867.85000   985.726667 -1.302066 0.9962100 -0.1837419

$sig_00_01_down
  Row.names        V1       V2       V3 1_hab01_mean 2_hab00_mean     theta      prob     log2FC
1  ML04811a  ML04811a     TBR1 2.58e-08      0.00500      1.07500 -3.056434 1.0000000 -7.7481928
5  ML40171a  ML40171a   PABPN1 5.42e-04     15.31333     45.00333 -1.481151 0.9990028 -1.5552435
4 ML182032a ML182032a    CREB5 1.98e-07    110.35333    323.15000 -2.680785 1.0000000 -1.5500738
2 ML065322a ML065322a    PDCL3 2.59e-07     62.68000    178.32000 -1.350869 0.9550757 -1.5083914
3 ML071318a ML071318a ATP6V1G1 4.98e-27    394.82333    506.98333 -1.372605 0.9527975 -0.3607311

$sig_00_01_up
   Row.names        V1       V2        V3 1_hab01_mean 2_hab00_mean    theta      prob     log2FC
5  ML024111a ML024111a C6orf136  4.73e-05     2.070000     0.005000 2.234306 1.0000000 8.69348696
19  ML18811a  ML18811a    APOL3  3.81e-04     1.161667     0.005000 2.919846 1.0000000 7.86005235
23  ML22971a  ML22971a    MMP17  1.25e-24    10.343333     2.523333 1.261851 0.9999252 2.03529849
3  ML007435a ML007435a     TLL2  2.19e-77    69.943333    20.633333 2.458515 1.0000000 1.76120964
17 ML104334a ML104334a     MDN1  1.74e-04   140.066667    57.670000 1.861129 0.9999079 1.28022073
24 ML234028a ML234028a     SOX4  9.86e-28    31.443333    13.533333 1.293288 0.9898377 1.21623694
8  ML057318a ML057318a     ATF2  6.63e-22   215.570000    95.086667 2.124993 1.0000000 1.18084146
26 ML305524a ML305524a    MMP14  2.00e-35    24.066667    11.160000 1.182134 0.9621775 1.10869931
25 ML258259a ML258259a    NPTXR  5.28e-26   164.253333    82.410000 1.526849 0.9502357 0.99503133
15  ML09109a  ML09109a     ETV4  4.11e-26   140.936667    71.020000 1.485569 0.9996619 0.98874973
18 ML173711a ML173711a    MUC5B  5.92e-13    71.746667    37.450000 1.477867 0.9999385 0.93794609
10  ML07265a  ML07265a  ARHGEF2  1.22e-36    47.583333    25.120000 1.263928 0.9999314 0.92161988
4  ML013513a ML013513a     PAK1  3.40e-06    91.826667    49.456667 2.014713 1.0000000 0.89274817
12 ML077623a ML077623a     CREM  3.13e-38   146.993333    80.276667 1.508588 0.9870017 0.87269811
22  ML22301a  ML22301a      ZAN  1.42e-17   157.003333    88.380000 1.229453 0.9883569 0.82900335
11 ML073013a ML073013a      UNK  8.02e-57    99.083333    56.310000 1.290528 0.9929967 0.81525125
20  ML19855a  ML19855a      TTN  1.12e-09    53.796667    31.473333 1.174709 0.9634780 0.77338680
9  ML070218a ML070218a   WDSUB1  7.94e-09    93.536667    56.533333 1.417699 0.9999963 0.72643025
27  ML41278a  ML41278a   TXNDC2  8.67e-04   130.020000    82.290000 1.394765 0.9992132 0.65994453
2  ML003242a ML003242a    PPP6C 3.09e-178    92.936667    60.803333 1.224106 0.9812002 0.61209748
21 ML221311a ML221311a   POU6F1  2.51e-25   124.296667    81.846667 1.204897 0.9556632 0.60279204
13  ML07781a  ML07781a    MEF2A  3.15e-54    91.576667    62.000000 1.179509 0.9631256 0.56271184
6  ML024112a ML024112a     PIM1  1.84e-56   547.490000   386.553333 2.004045 1.0000000 0.50216514
16  ML09257a  ML09257a  SELENOT  6.43e-19   291.693333   226.080000 1.191360 0.9569455 0.36761904
14 ML082318a ML082318a  HSP90B1  0.00e+00   679.380000   610.496667 1.245317 0.9985635 0.15423533
7  ML035921a ML035921a    HSPA5  0.00e+00  1006.843333   927.926667 1.368605 0.9771228 0.11775651
1   ML00017a  ML00017a     EEF2  0.00e+00  2477.930000  2355.376667 1.212053 0.9626815 0.07317764

$sig_01_03_down
     Row.names         V1        V2        V3 1_hab03_mean 2_hab01_mean      theta      prob      log2FC
205   ML28461a   ML28461a     PACS1  1.00e-03    0.0050000    14.370000 -9.8291400 1.0000000 -11.4888443
47   ML024111a  ML024111a  C6orf136  4.73e-05    0.0050000     2.070000 -2.3260085 1.0000000  -8.6934870
34   ML015621a  ML015621a     AGGF1  1.19e-05   11.7266667    53.523333 -1.2689108 0.9909217  -2.1903750
187   ML22181a   ML22181a      PIF1  1.33e-06    9.1533333    34.280000 -2.3531734 1.0000000  -1.9049980
67   ML040510a  ML040510a     HMCN1  3.30e-14    0.3100000     1.133333 -1.2466134 0.9909821  -1.8702321
163  ML154134a  ML154134a      BCO1  7.89e-09    0.3133333     1.080000 -0.9507138 0.9716248  -1.7852612
188   ML22301a   ML22301a       ZAN  1.42e-17   45.9300000   157.003333 -2.7738992 1.0000000  -1.7732865
29    ML01422a   ML01422a      PIF1  2.05e-19    0.8066667     2.736667 -1.2451402 0.9903788  -1.7623752
156  ML146510a  ML146510a    RBM12B  1.80e-08   26.3700000    85.786667 -2.4388416 1.0000000  -1.7018559
197   ML27421a   ML27421a      PIF1  5.65e-08   25.2166667    80.363333 -2.4068567 1.0000000  -1.6721598
84   ML056912a  ML056912a     GPR26  1.35e-08    1.6033333     4.860000 -1.0828320 0.9843828  -1.5998819
136  ML106623a  ML106623a      PRG3  2.28e-04    0.6900000     2.003333 -0.9199417 0.9639152  -1.5377342
21    ML00894a   ML00894a      NRDC  3.43e-13    5.0733333    14.536667 -1.0506876 0.9640027  -1.5186906
168   ML16905a   ML16905a     SVEP1  4.14e-06    0.3800000     1.083333 -1.0012957 0.9628022  -1.5114059
219  ML388113a  ML388113a    SCNN1A  4.00e-09    7.6366667    20.116667 -1.0127964 0.9647603  -1.3973763
174   ML17998a   ML17998a     CABP7  3.07e-05   19.9733333    50.720000 -1.6864826 0.9999998  -1.3444796
40   ML018020a  ML018020a     MAT1A  0.00e+00  265.1800000   655.213333 -2.1634607 0.9990427  -1.3049927
152  ML141750a  ML141750a     ACTG1 1.47e-151    1.7633333     4.283333 -0.9458054 0.9717206  -1.2804287
214   ML34753a   ML34753a   DYNC1H1  1.90e-16    0.6666667     1.573333 -0.9419685 0.9711512  -1.2387869
166   ML15452a   ML15452a    ABLIM1  8.58e-27    3.1400000     7.126667 -1.0599992 0.9728675  -1.1824629
225   ML45845a   ML45845a    ANKUB1  1.45e-26    6.3600000    14.176667 -1.0557623 0.9685428  -1.1564197
58   ML033249a  ML033249a    TRMT2B  1.04e-04    7.1800000    15.170000 -0.9377376 0.9700935  -1.0791653
151   ML13609a   ML13609a      CTSH  1.59e-11   22.5133333    46.886667 -1.2665183 0.9914827  -1.0583980
75   ML050413a  ML050413a     RASEF  2.04e-04    7.9800000    16.073333 -0.9552605 0.9707381  -1.0102085
141   ML11643a   ML11643a    PRSS22  1.97e-28    7.6766667    15.270000 -1.0934022 0.9805086  -0.9921482
101  ML071150a  ML071150a     CALM2  2.22e-31    3.3100000     6.583333 -0.8954845 0.9500780  -0.9919870
132  ML104334a  ML104334a      MDN1  1.74e-04   72.4733333   140.066667 -1.5156291 0.9824370  -0.9505915
137   ML10904a   ML10904a   XPNPEP3  2.61e-08   31.3466667    58.960000 -0.9541962 0.9709972  -0.9114245
92   ML064913a  ML064913a      GPC4  2.98e-07   19.8066667    37.096667 -1.3761421 0.9690720  -0.9053035
195  ML270525a  ML270525a      ARSB 4.00e-116   32.2466667    59.806667 -1.2356387 0.9849918  -0.8911563
125  ML089714a  ML089714a    SLC5A7 1.05e-150   22.1033333    40.703333 -0.9125493 0.9608338  -0.8808830
48    ML02456a   ML02456a      NOCT  4.51e-50   10.5266667    19.053333 -1.0300462 0.9608302  -0.8559947
119  ML084431a  ML084431a     DMGDH  0.00e+00   62.2100000   110.793333 -1.0684699 0.9806941  -0.8326527
226   ML45846a   ML45846a      MAFK  1.56e-04   16.3233333    28.633333 -0.9421070 0.9711819  -0.8107599
223   ML41278a   ML41278a    TXNDC2  8.67e-04   75.1033333   130.020000 -1.6474003 1.0000000  -0.7917847
178   ML19323a   ML19323a    ADGRG4  1.84e-04   35.4066667    61.083333 -1.3896445 0.9590181  -0.7867578
189   ML23187a   ML23187a      AQP5  3.38e-29   58.1100000   100.030000 -0.9444335 0.9715465  -0.7835744
16   ML007435a  ML007435a      TLL2  2.19e-77   40.6400000    69.943333 -1.5150607 0.9824378  -0.7832862
175  ML182032a  ML182032a     CREB5  1.98e-07   64.1633333   110.353333 -1.5823553 0.9998189  -0.7823092
42   ML019233a  ML019233a     MUC19  3.44e-16   63.4300000   108.966667 -1.4286943 0.9778111  -0.7806496
158   ML14875a   ML14875a     MMP24  1.79e-36   38.8000000    65.756667 -1.2186244 0.9714169  -0.7610805
148   ML13046a   ML13046a     PDZD7  3.39e-07   49.5166667    83.053333 -1.5108276 0.9823987  -0.7461239
31    ML01439a   ML01439a      EYA1 1.01e-124   42.8600000    71.476667 -1.3704363 0.9738910  -0.7378405
82    ML05349a   ML05349a     APMAP  2.73e-13   13.6300000    22.420000 -0.9144007 0.9616830  -0.7180007
71    ML04718a   ML04718a    SCUBE2  7.91e-04  340.4766667   558.456667 -1.2256109 0.9772224  -0.7138894
55   ML030422a  ML030422a  HSD11B1L  9.58e-35   19.5766667    31.523333 -1.0311190 0.9604997  -0.6872850
199  ML276932a  ML276932a      ACP7  4.18e-24   26.7633333    42.240000 -0.9717592 0.9630426  -0.6583520
72   ML047940a  ML047940a    HNRNPD  4.73e-32   44.5266667    69.726667 -1.0672278 0.9796953  -0.6470409
102  ML073025a  ML073025a      GFM1  0.00e+00   55.1233333    86.240000 -1.3716748 0.9728967  -0.6456940
220   ML38815a   ML38815a      SVIL 2.32e-105   44.7200000    69.273333 -0.9632326 0.9674141  -0.6313799
192   ML26178a   ML26178a     DIMT1 1.20e-147   78.0366667   119.326667 -1.3567449 0.9812518  -0.6126924
11    ML00616a   ML00616a   ATP13A2 6.89e-121   19.8700000    30.180000 -0.9281381 0.9668860  -0.6030009
201   ML27841a   ML27841a   SLC22A5  1.30e-30   21.8433333    33.056667 -0.9599990 0.9689528  -0.5977482
129   ML09433a   ML09433a    TIMM23  2.91e-13  179.0100000   267.783333 -1.4319163 0.9800299  -0.5810260
90    ML06335a   ML06335a     RIOK2 1.95e-140  109.7766667   163.240000 -1.5940859 0.9999788  -0.5724232
210   ML31014a   ML31014a    SRSF12  2.72e-37  124.5666667   185.013333 -1.6547998 1.0000000  -0.5707112
146  ML128447a  ML128447a     PINX1  2.82e-29   75.1033333   111.513333 -1.2217600 0.9740239  -0.5702674
204  ML282527a  ML282527a      ELK1  3.93e-28  132.2100000   196.080000 -1.7084795 0.9999518  -0.5686111
123  ML089414a  ML089414a    TXNRD1  0.00e+00   95.3933333   141.000000 -1.2667119 0.9914381  -0.5637348
87    ML05965a   ML05965a   C1orf21  3.84e-05  113.2700000   167.206667 -1.3635020 0.9785976  -0.5618666
5    ML003313a  ML003313a     PDE4D  5.18e-34   47.3033333    69.756667 -1.1276197 0.9810338  -0.5603893
49   ML025010a  ML025010a      AQP1  8.13e-34   59.4466667    87.363333 -1.2485260 0.9915702  -0.5554320
18   ML008012a  ML008012a      UAP1 4.79e-156   96.2066667   141.283333 -1.2075222 0.9629433  -0.5543825
17   ML007812a  ML007812a  SLC25A37  3.59e-83  106.3466667   155.640000 -1.3822914 0.9638356  -0.5494381
217  ML358821a  ML358821a     RBM42  8.43e-56   60.4533333    87.920000 -1.1214030 0.9789506  -0.5403695
112  ML077623a  ML077623a      CREM  3.13e-38  101.1066667   146.993333 -1.6118726 0.9999996  -0.5398726
176   ML18351a   ML18351a  SLC25A38  9.41e-59   53.6500000    77.926667 -1.0131268 0.9647561  -0.5385389
203   ML28205a   ML28205a     TPPP2  6.03e-54   68.8800000    99.930000 -1.0953338 0.9796715  -0.5368327
53   ML029510a  ML029510a  SLC25A24  3.96e-46   57.0500000    82.653333 -0.9861768 0.9595702  -0.5348461
63    ML03783a   ML03783a     MMEL1  5.63e-21   41.9200000    60.686667 -1.0399224 0.9592161  -0.5337409
15   ML007430a  ML007430a    POLR2A  3.53e-06   32.8633333    47.410000 -0.9420495 0.9711691  -0.5287126
207   ML29316a   ML29316a    HIBADH  1.61e-36   34.7033333    50.020000 -0.9056021 0.9571137  -0.5274308
50    ML02596a   ML02596a    ADGRL3  4.29e-37   69.0533333    98.520000 -0.9451709 0.9716398  -0.5127056
121   ML08505a   ML08505a    NEURL1  6.37e-13   60.9900000    86.920000 -1.0664541 0.9790422  -0.5111155
12   ML007334a  ML007334a      DAW1  0.00e+00   52.6200000    74.883333 -1.0337053 0.9597743  -0.5090334
13   ML007419a  ML007419a     EIF3A  7.31e-28  385.7033333   547.430000 -3.4476678 1.0000000  -0.5051829
182   ML20163a   ML20163a   ALDH1L2  0.00e+00  128.8533333   182.440000 -1.5616462 0.9971050  -0.5016922
113   ML07763a   ML07763a   HSD17B6  6.14e-11  169.2133333   239.403333 -1.5863199 0.9999071  -0.5006000
93   ML064954a  ML064954a      SIX1  1.20e-90   32.9000000    46.486667 -0.9208175 0.9642509  -0.4987294
51    ML02655a   ML02655a     GNL3L 5.16e-102   89.8566667   126.953333 -1.2927153 0.9848359  -0.4986008
35   ML015722a  ML015722a   CREB3L3  2.02e-32  114.1533333   160.543333 -1.0351682 0.9595247  -0.4919898
143  ML120726a  ML120726a     NAA15  0.00e+00   95.7766667   133.893333 -1.3567973 0.9812367  -0.4833380
22   ML009134a  ML009134a      BYSL 6.56e-144  136.4566667   190.730000 -1.2966433 0.9839041  -0.4830889
167  ML165815a  ML165815a     NEDD8  6.69e-44  118.1166667   164.406667 -1.6222446 1.0000000  -0.4770563
114   ML08021a   ML08021a     ATF6B  5.76e-12   74.4400000   103.603333 -1.0364280 0.9593091  -0.4769205
77    ML05198a   ML05198a     LAMA2  2.50e-09   95.7366667   133.096667 -1.3395225 0.9804512  -0.4753310
44   ML021126a  ML021126a     SERP2  8.03e-20  312.4200000   432.550000 -0.9477460 0.9717693  -0.4693801
139   ML11467a   ML11467a   CCDC124  7.12e-34  175.3566667   240.836667 -2.3753267 1.0000000  -0.4577628
7    ML005341a  ML005341a      MNS1  1.65e-99   93.3366667   128.053333 -1.2545974 0.9926578  -0.4562290
64   ML039722a  ML039722a    DNAJC7 1.16e-147  188.6000000   258.426667 -1.5047173 0.9820269  -0.4544253
65    ML03989a   ML03989a  B4GALNT2  2.42e-15   71.0166667    97.303333 -0.9564502 0.9703375  -0.4543316
142   ML12051a   ML12051a     PDE4D 2.93e-122   51.0733333    69.880000 -0.9307432 0.9678062  -0.4523094
85   ML057318a  ML057318a      ATF2  6.63e-22  157.8300000   215.570000 -1.2954907 0.9841788  -0.4497850
46   ML023112a  ML023112a     DAPK1  1.11e-05   63.7700000    87.020000 -0.9829126 0.9596821  -0.4484691
206  ML293115a  ML293115a      HMBS  1.40e-15  122.8866667   167.593333 -1.1465687 0.9813905  -0.4476364
191   ML25829a   ML25829a     DDX21  0.00e+00  261.0033333   355.700000 -1.2045362 0.9610585  -0.4465927
215  ML353012a  ML353012a      RRS1  2.16e-60  128.3233333   174.536667 -1.4226842 0.9728657  -0.4437466
227   ML49211a   ML49211a    LOXHD1  2.02e-05   41.4033333    56.013333 -0.8990447 0.9527229  -0.4360234
208   ML29543a   ML29543a     LARP6  4.59e-27  216.7600000   293.013333 -1.3752580 0.9698447  -0.4348678
171   ML17501a   ML17501a    COL4A6 1.62e-139   88.5633333   119.593333 -0.9159401 0.9623295  -0.4333555
83    ML05493a   ML05493a   U2AF1L5  7.94e-93  132.6633333   179.106667 -1.4554797 0.9835000  -0.4330494
211  ML311631a  ML311631a     PPM1G  1.07e-68   64.3533333    86.310000 -1.1690287 0.9659560  -0.4235128
177   ML18557a   ML18557a     BUD23 5.72e-112   80.7466667   107.886667 -1.1982455 0.9580031  -0.4180420
32    ML01516a   ML01516a    ADGRG7  4.42e-06  103.8266667   138.690000 -1.1747613 0.9617454  -0.4176867
153   ML14251a   ML14251a     NUBPL  2.80e-92   58.7800000    78.293333 -0.9670897 0.9654032  -0.4135641
131   ML10292a   ML10292a      CHD3  0.00e+00  123.3300000   164.193333 -0.9888033 0.9597854  -0.4128718
162 ML1541127a ML1541127a    TPSAB1  1.83e-26   54.1533333    72.070000 -0.9189033 0.9635197  -0.4123487
161 ML1541120a ML1541120a       JUN  2.09e-25  114.4333333   151.566667 -0.9875892 0.9596564  -0.4054451
127   ML09109a   ML09109a      ETV4  4.11e-26  106.4100000   140.936667 -1.0054236 0.9638707  -0.4054133
20   ML008113a  ML008113a    PAPSS2  0.00e+00  686.7966667   909.490000 -1.6243277 1.0000000  -0.4051747
27   ML013513a  ML013513a      PAK1  3.40e-06   69.4333333    91.826667 -0.9254597 0.9659313  -0.4032847
147  ML130410a  ML130410a   CCDC113  4.86e-75   71.3800000    94.346667 -1.0186999 0.9642323  -0.4024516
96    ML06575a   ML06575a      NMD3 1.38e-179  105.1800000   138.720000 -1.0793751 0.9847162  -0.3993154
4    ML003220a  ML003220a     HYDIN  9.98e-06  199.0600000   262.240000 -1.4498093 0.9844238  -0.3976844
128   ML09422a   ML09422a     CNOT4 1.40e-108  192.3500000   252.826667 -1.1583959 0.9744824  -0.3944148
218   ML37595a   ML37595a   DNAJB11 4.11e-138  244.8433333   321.703333 -1.7460593 0.9858033  -0.3938720
194  ML267515a  ML267515a     MATN2  4.70e-39   89.8800000   117.976667 -0.9199796 0.9639297  -0.3924295
186  ML221328a  ML221328a     SF3A1 1.94e-124   77.1333333   101.063333 -1.0716804 0.9827181  -0.3898333
86    ML05851a   ML05851a     PRPS1  0.00e+00  218.7966667   285.773333 -1.6556373 1.0000000  -0.3852805
122  ML085726a  ML085726a     ADH1A  3.76e-15   90.3400000   117.933333 -0.9080410 0.9585365  -0.3845347
107  ML074812a  ML074812a     UBXN1  1.52e-26   63.8700000    83.326667 -1.0275182 0.9616740  -0.3836398
160 ML1541107a ML1541107a      PIN1  1.17e-47   88.0466667   114.823333 -0.9186035 0.9634061  -0.3830756
126  ML090110a  ML090110a      NSA2 5.72e-152  200.6233333   261.580000 -1.1998924 0.9586269  -0.3827628
117  ML082715a  ML082715a    COL6A5  6.48e-10  107.4700000   139.670000 -1.1714686 0.9640720  -0.3780882
74   ML049611a  ML049611a      CDK5 3.11e-143  206.4066667   266.860000 -1.1572210 0.9753483  -0.3705935
212  ML322214a  ML322214a     DDX27  0.00e+00   72.3900000    93.576667 -0.9010353 0.9541231  -0.3703584
62   ML035811a  ML035811a     RAPH1  8.72e-55   55.2766667    71.446667 -0.9171432 0.9628287  -0.3701961
98   ML068130a  ML068130a     SNIP1  4.58e-78   93.2366667   120.313333 -0.9228239 0.9649808  -0.3678272
39   ML017938a  ML017938a   ZNF512B  1.00e-03  988.9066667  1275.543333 -0.9562661 0.9704019  -0.3672056
80    ML05234a   ML05234a       VWF  4.98e-05  185.3400000   238.573333 -1.1639832 0.9700444  -0.3642585
45    ML02115a   ML02115a   TIMM17B  2.22e-58  250.4066667   321.876667 -1.2011681 0.9592466  -0.3622350
52    ML02874a   ML02874a     GLRX5  1.34e-46   91.8200000   118.010000 -0.9359569 0.9695626  -0.3620288
109   ML07573a   ML07573a     RSPH3 1.11e-119  135.1333333   173.323333 -1.3072417 0.9814212  -0.3590823
138   ML11353a   ML11353a     PSME3  2.70e-41  138.8866667   177.533333 -0.9724657 0.9627243  -0.3541818
88    ML06039a   ML06039a    GIGYF2  4.18e-15   88.5700000   113.193333 -1.0487327 0.9625685  -0.3538990
97    ML06737a   ML06737a   TGFB1I1  4.12e-17   79.2666667   101.250000 -0.9947918 0.9609661  -0.3531357
54   ML030228a  ML030228a     NPDC1  2.83e-04   94.6733333   120.863333 -1.1131576 0.9767876  -0.3523466
202   ML27892a   ML27892a    CCDC65 2.48e-149   97.6566667   124.576667 -1.2445985 0.9901588  -0.3512434
94   ML065325a  ML065325a    ZC3H15  1.01e-94  104.3466667   132.900000 -1.2331096 0.9831696  -0.3489566
6    ML005327a  ML005327a     ABCF3  6.86e-52  105.9200000   134.376667 -0.9316594 0.9681222  -0.3433076
134  ML105416a  ML105416a     POLE3  1.21e-48   96.4500000   122.333333 -1.1212378 0.9788973  -0.3429644
8    ML005350a  ML005350a      IPO4 1.61e-119  127.0066667   160.906667 -0.9906073 0.9600413  -0.3413199
103  ML073238a  ML073238a     FTSJ3  0.00e+00  103.1666667   130.656667 -0.9247276 0.9656705  -0.3408038
196  ML271533a  ML271533a     UBE2I  1.72e-97  223.5233333   282.930000 -1.3556768 0.9814563  -0.3400197
193   ML26511a   ML26511a GABARAPL2  5.44e-60  599.7500000   758.153333 -2.2766889 0.9989899  -0.3381284
41   ML018032a  ML018032a    GTPBP4  0.00e+00  217.9200000   274.640000 -1.2859206 0.9864674  -0.3337432
23    ML00956a   ML00956a   ARFGAP1  2.84e-62  183.4600000   231.086667 -1.1211053 0.9788546  -0.3329685
209  ML306911a  ML306911a      SDHA  0.00e+00  179.1666667   225.473333 -1.4752272 0.9800606  -0.3316546
190  ML257636a  ML257636a      PPID  2.04e-99   67.1333333    84.360000 -0.9125304 0.9608253  -0.3295298
56   ML031718a  ML031718a      IPO9  0.00e+00  296.4200000   372.326667 -1.0903139 0.9818831  -0.3289262
38   ML017711a  ML017711a     NCOA5  7.39e-05  105.8400000   132.856667 -1.0555901 0.9683728  -0.3279857
24   ML009614a  ML009614a      UCP2  6.03e-86  262.1000000   328.876667 -1.0871153 0.9831869  -0.3274293
25   ML010520a  ML010520a     SF3B4 4.60e-134   75.0200000    93.816667 -0.9743157 0.9618922  -0.3225690
183   ML21583a   ML21583a    CFAP44 2.47e-130  258.6800000   322.146667 -1.5268075 0.9829035  -0.3165492
